room_type,lead_time,length_of_stay,num_guests,is_weekend,season,previous_cancellations,special_requests,price,is_cancelled
Single,23,5,1,0,mid,0,4,6832.0,0
Suite,4,4,3,1,low,4,3,29867.0,1
Deluxe,75,8,3,0,low,0,4,30127.0,0
Double,82,10,3,1,high,0,1,40922.0,0
Double,93,4,3,1,mid,0,1,12631.0,0
Suite,115,11,1,0,low,1,0,56245.0,1
Single,60,9,2,0,mid,1,4,12734.0,0
Deluxe,100,3,2,0,mid,0,4,12617.0,0
Single,86,14,4,1,high,1,1,38734.0,1
Single,33,1,3,0,mid,0,2,1789.0,1
Deluxe,102,10,3,0,low,2,3,33499.0,0
Suite,6,7,3,0,low,0,4,47021.0,0
Deluxe,72,10,2,0,low,0,1,32147.0,0
Suite,113,11,4,0,mid,0,2,85911.0,1
Deluxe,79,10,3,0,mid,1,1,40981.0,0
Suite,113,10,4,1,mid,0,4,100023.0,1
Deluxe,6,12,3,0,mid,0,5,46745.0,0
Single,64,10,3,0,low,0,4,13670.0,0
Suite,94,12,1,1,low,0,4,70574.0,1
Double,77,6,3,0,low,2,4,14570.0,1
Deluxe,106,3,1,0,mid,0,5,11933.0,1
Double,55,4,3,1,mid,0,2,13751.0,1
Single,82,9,3,0,high,1,1,20148.0,0
Suite,50,8,3,1,low,0,5,57006.0,0
Suite,105,2,2,0,mid,2,0,17151.0,0
Deluxe,14,3,1,0,low,0,2,10274.0,0
Double,30,14,3,0,mid,3,4,34349.0,0
Suite,11,11,3,0,low,2,4,69032.0,0
Deluxe,84,11,2,0,mid,0,4,44117.0,1
Double,28,3,3,1,low,0,2,8581.0,0
Double,38,1,4,1,low,1,5,3105.0,0
Single,101,5,3,0,mid,1,1,8756.0,1
Single,43,12,1,1,low,0,0,16339.0,0
Deluxe,17,8,4,1,mid,0,3,40639.0,0
Suite,2,11,2,1,low,0,1,88958.0,0
Single,27,7,3,1,high,1,2,19525.0,1
Suite,110,7,4,0,low,1,2,50491.0,0
Suite,66,9,2,0,mid,0,1,62718.0,0
Double,120,14,3,1,high,0,5,54991.0,1
Deluxe,26,7,1,1,mid,1,2,29778.0,0
Single,42,9,4,1,low,3,4,14908.0,1
Suite,19,13,1,0,mid,0,0,71324.0,0
Deluxe,48,6,3,1,low,0,5,27831.0,0
Double,68,12,2,0,mid,0,5,30534.0,0
Single,97,8,1,1,mid,1,0,11758.0,0
Suite,44,13,2,0,high,0,3,121952.0,0
Double,93,7,4,0,high,0,3,27527.0,0
Suite,75,9,1,1,low,1,1,56092.0,0
Deluxe,35,5,2,1,low,0,4,20769.0,0
Suite,110,9,1,0,low,0,4,44973.0,0
Suite,52,5,1,0,mid,0,5,33581.0,0
Single,18,9,1,0,low,0,3,10599.0,0
Double,116,12,3,0,mid,0,4,31097.0,0
Double,110,7,4,1,mid,0,4,21854.0,1
Double,5,7,3,0,high,0,4,26336.0,0
Single,109,5,4,0,mid,0,3,9401.0,1
Deluxe,114,11,3,1,low,2,4,45817.0,0
Single,100,9,2,1,low,2,0,12962.0,1
Deluxe,30,8,4,0,mid,0,3,41864.0,0
Deluxe,76,1,1,1,low,1,1,3729.0,1
Suite,65,2,3,1,low,0,2,16324.0,1
Deluxe,75,1,1,1,low,2,4,3958.0,1
Double,74,12,4,0,mid,2,0,36439.0,0
Suite,77,12,1,1,high,1,4,118309.0,1
Double,62,1,1,1,low,1,1,2517.0,0
Double,83,1,2,1,low,0,4,2706.0,1
Suite,63,11,3,1,mid,0,4,87554.0,0
Double,1,8,1,0,low,0,0,16635.0,1
Single,4,5,2,1,high,0,1,11906.0,0
Double,115,9,2,1,mid,1,4,26940.0,1
Suite,110,4,3,1,mid,0,2,36654.0,1
Single,70,3,4,1,high,0,2,8402.0,0
Double,21,6,3,0,mid,0,0,17664.0,0
Single,94,13,3,1,low,1,4,17529.0,1
Deluxe,17,11,2,1,mid,0,0,45997.0,0
Double,45,3,4,1,mid,0,1,9173.0,0
Double,39,8,1,1,mid,2,2,22682.0,1
Single,1,13,1,1,high,0,4,29163.0,0
Deluxe,97,14,1,0,low,1,2,43413.0,1
Deluxe,61,11,2,1,mid,0,5,48915.0,0
Suite,38,2,2,1,low,0,3,15381.0,0
Double,61,4,4,0,low,4,1,10159.0,1
Single,0,4,3,0,mid,0,1,7579.0,1
Suite,52,3,2,0,high,0,4,30401.0,0
Deluxe,62,3,1,0,mid,0,2,11959.0,0
Deluxe,41,5,3,1,low,5,3,23605.0,1
Single,100,8,2,0,low,2,2,9413.0,0
Double,30,6,4,1,mid,0,1,20251.0,1
Suite,16,6,2,0,mid,0,3,43519.0,0
Suite,63,4,3,0,high,0,1,42635.0,1
Double,107,3,4,1,mid,1,5,10273.0,1
Suite,45,14,2,0,high,0,4,120986.0,0
Suite,5,9,2,1,high,0,4,104616.0,0
Double,117,4,3,1,low,0,1,10960.0,0
Suite,53,12,2,0,mid,3,0,90583.0,1
Double,20,12,1,0,mid,0,0,27405.0,0
Single,74,14,2,1,high,0,5,30190.0,0
Deluxe,38,3,1,1,mid,3,5,13898.0,1
Deluxe,113,9,3,0,mid,0,4,38628.0,0
Single,35,14,1,1,low,0,3,19057.0,0
Suite,66,12,2,0,mid,0,1,76027.0,0
Single,65,4,4,0,high,0,4,8865.0,0
Suite,29,13,3,1,high,0,3,146819.0,1
Single,60,6,3,0,low,0,3,8783.0,0
Suite,13,7,3,0,low,0,0,46064.0,0
Suite,77,8,2,1,high,0,3,90259.0,0
Suite,91,11,3,1,mid,2,4,94875.0,1
Deluxe,114,2,1,0,high,0,4,9901.0,1
Double,39,8,3,1,low,1,0,21387.0,0
Deluxe,34,12,3,1,high,0,0,82000.0,0
Double,66,8,4,0,mid,0,5,23262.0,0
Suite,83,4,4,0,low,0,1,26752.0,0
Deluxe,120,1,1,1,low,0,2,3845.0,0
Double,3,8,2,0,mid,1,3,20647.0,0
Deluxe,28,10,3,1,low,0,2,44980.0,0
Deluxe,31,8,2,0,high,1,5,39146.0,0
Single,30,14,3,1,mid,3,5,24812.0,1
Single,56,9,4,1,mid,0,2,16885.0,0
Single,105,8,2,0,low,3,1,10505.0,1
Single,3,1,4,1,high,0,5,2973.0,0
Double,98,8,4,1,mid,0,4,26214.0,1
Deluxe,74,3,4,1,high,0,4,23354.0,1
Deluxe,74,11,1,0,high,2,2,56507.0,1
Double,82,3,2,0,mid,1,2,7873.0,0
Suite,13,13,1,1,high,4,1,116012.0,0
Deluxe,90,5,1,1,mid,1,2,23654.0,0
Single,30,7,1,0,mid,0,3,10279.0,0
Suite,62,3,2,0,low,2,0,19425.0,0
Deluxe,81,3,1,0,low,4,3,9651.0,1
Deluxe,73,13,2,1,mid,1,3,59634.0,1
Deluxe,39,4,4,1,low,0,5,20733.0,0
Deluxe,47,8,4,1,mid,2,0,42180.0,1
Single,57,14,4,0,high,0,1,30728.0,0
Deluxe,4,9,1,0,mid,3,2,31356.0,0
Suite,87,1,3,0,low,5,5,6654.0,1
Double,12,6,3,1,mid,1,1,17988.0,1
Deluxe,55,6,1,0,low,0,5,19507.0,0
Single,79,4,4,0,high,0,5,9577.0,0
Double,9,4,2,0,mid,4,0,10671.0,1
Double,120,8,4,0,mid,2,2,22035.0,0
Suite,45,6,1,1,mid,1,1,45501.0,0
Single,1,5,3,1,mid,3,2,10062.0,0
Double,79,6,1,1,low,0,5,14060.0,0
Double,67,5,4,1,low,2,2,13358.0,1
Suite,77,4,3,0,mid,0,3,31744.0,1
Suite,90,7,1,0,high,0,0,61314.0,1
Single,57,14,1,0,low,0,3,15670.0,0
Single,100,8,2,1,low,0,2,10808.0,0
Suite,44,9,1,1,low,0,5,58511.0,1
Single,65,14,1,0,mid,1,4,17997.0,0
Suite,19,9,4,1,low,0,1,71016.0,0
Double,75,4,4,1,high,1,3,16927.0,1
Suite,31,6,3,0,low,0,2,36897.0,0
Double,84,7,4,1,mid,2,2,23000.0,0
Double,96,7,3,1,low,0,2,19935.0,1
Deluxe,103,3,1,0,mid,1,4,12070.0,1
Single,112,2,3,0,low,0,1,2947.0,0
Deluxe,14,5,1,1,mid,0,0,21060.0,1
Deluxe,16,13,4,1,high,0,1,83220.0,0
Suite,112,11,2,1,low,0,4,74172.0,0
Suite,46,12,1,0,high,0,1,104462.0,1
Deluxe,3,3,2,1,low,0,0,12545.0,0
Double,34,6,3,1,mid,0,2,20634.0,0
Double,101,9,4,0,mid,1,5,24792.0,1
Double,42,7,3,1,low,0,5,18820.0,0
Suite,9,6,1,0,mid,0,5,36522.0,0
Double,87,6,4,0,low,0,4,15178.0,1
Single,23,1,4,1,mid,0,4,2296.0,0
